Municipio,ÓbtP/Ocor,Saneat,PibPerCapita,PrpBxRnd,RndMdDom,TxAnalf,PopEst
FORMIGUEIRO,1,6966,54,78,579,11,6568
FORQUETINHA,0,2479,37,76,811,5,2426
FORTALEZA DOS VALOS,0,4569,14,5,1002,5,4562
FREDERICO WESTPHALEN,0,28553,21,13,863,4,33360
GARIBALDI,6,30502,54,8,1352,2,35215
GARRUCHOS,0,3232,11,42,470,12,2739
GAURAMA,1,5840,62,6,761,3,5789
GENERAL CAMARA,1,8397,77,94,629,10,7801
GENTIL,0,1673,52,86,630,7,1738
GETULIO VARGAS,3,15983,45,31,833,4,16928
GIRUA,1,16852,89,80,637,6,16359
GLORINHA,4,6842,83,17,675,7,7779
GRAMADO,4,31945,64,3,1022,2,40953
GRAMADO DOS LOUREIROS,0,2243,91,90,482,12,2039
GRAMADO XAVIER,1,3956,65,42,535,9,3367
GRAVATAI,27,254941,83,69,714,3,274846
GUABIJU,0,1596,77,56,1404,3,1426
GUAIBA,10,94975,4,78,743,3,96305
GUAPORE,14,22642,6,98,1029,2,25916
GUARANI DAS MISSOES,4,8062,22,49,612,5,7608
HARMONIA,0,4244,23,88,840,2,5419
HERVAL,2,6693,43,34,732,7,6329
HERVEIRAS,0,2945,83,30,508,11,2594
HORIZONTINA,2,18286,4,24,1033,3,19222
HULHA NEGRA,0,5971,28,54,457,8,6099
HUMAITA,1,4893,50,99,754,3,4784
IBARAMA,0,4363,7,39,571,6,3818
IBIACA,0,4699,35,89,935,5,4622
IBIRAIARAS,0,7161,58,93,787,5,6848
IBIRAPUITA,1,4051,95,50,511,8,3785
IBIRUBA,2,19192,60,67,1049,3,21885
IGREJINHA,1,31481,46,35,844,3,34722
IJUI,13,77925,79,51,1056,4,87277
ILOPOLIS,1,4065,32,70,868,6,4228
IMBE,9,17605,19,1,974,3,27141
IMIGRANTE,0,3011,70,76,926,1,3117
INDEPENDENCIA,0,6582,48,68,658,7,6575
INHACORA,0,2267,78,5,448,12,2031
IPE,0,5966,74,98,838,5,5512
IPIRANGA DO SUL,0,1941,22,6,1300,3,1740
IRAI,0,7943,49,50,547,8,7656
ITAARA,1,4991,77,64,869,5,5673
ITACURUBI,0,3419,26,74,562,7,3043
ITAPUCA,0,2340,69,44,658,9,1955
ITAQUI,4,37870,33,48,563,5,37034
ITATI,0,2552,60,83,566,12,2660
ITATIBA DO SUL,0,4162,75,87,576,10,3278
IVORA,1,2140,26,89,665,5,1960
IVOTI,0,19768,77,79,1019,1,23327
JABOTICABA,0,4083,57,7,389,13,3860
JACUIZINHO,0,2499,8,50,748,10,2069
